Termo;Setor/Área;Explicação Simples;Setor Econômico
Arpu (Average Revenue Per User);Marketing;Receita média gerada por cada usuário/cliente ativo.;Terciário
ARPU (Average Revenue Per User);Tecnologia;Receita média gerada por utilizador em plataformas tecnológicas.;Terciário
ARPU (Average Revenue Per User);Mercado Financeiro;Receita média gerada por cada usuário/cliente da base.;Terciário
ARPU (Average Revenue Per User);Startups;Ticket médio mensal gerado por cada usuário ativo.;Terciário (Majoritariamente)
ARPU (Average Revenue Per User);Comercial;Receita média gerada por usuário/cliente.;Terciário
ARPU (Average Revenue Per User);Bancário/Fintech;Receita média gerada por cada usuário/cliente ativo.;Terciário
ARR (Annual Recurring Revenue);Startups;"Receita Recorrente Anual; MRR projetado para 12 meses.";Terciário (Majoritariamente)
ARR (Annual Recurring Revenue);Comercial;Receita recorrente anualizada.;Terciário
Arrecadação Bruta;Governo;Total de receitas tributárias coletadas antes de deduções e transferências.;Terciário
Arrecadação de Dívida Ativa;Governo;Recuperação de créditos antigos através de cobrança ou execução.;Terciário
Assemble-to-Order (ATO);Supply Chain;Montagem final realizada após o pedido, usando componentes pré-fabricados.;Terciário
Asset Allocation;Bolsa de Valores;Estratégia de distribuição de investimentos entre diferentes classes de ativos.;Terciário
Asset Management;Bancário/Fintech;Gestão de ativos e fundos de investimento de terceiros.;Terciário
Asset Turnover;Financeiro;"Giro de Ativos; mede a eficiência da empresa em gerar receita com seus ativos.";Terciário
Assortment Rationalization;Varejo;Processo de remover SKUs de baixa performance para otimizar o espaço em gôndola.;Terciário
Atendimento de Pedido (Fill Rate);Comercial e Vendas;Percentual de itens entregues em relação ao total de itens solicitados no pedido original.;Terciário
Atendimento por Vendedor;Varejo;KPI que mede a produtividade individual da equipe de vendas.;Terciário
Ativação de Base;Comercial e Vendas;Processo de transformar um cliente inativo (churned) em um comprador recorrente.;Terciário
ATR (Açúcar Total Recuperável);Agricultura;Qualidade da cana-de-açúcar para fins de pagamento ao produtor.;Primário
Atribuição First-Touch;Marketing;Modelo que dá 100% do crédito da venda ao primeiro ponto de contato.;Terciário
Atribuição Last-Touch;Marketing;Modelo que credita a venda ao último canal antes da conversão.;Terciário
Atribuição Multi-Touch;Marketing;Modelo que distribui o crédito da venda entre vários canais da jornada.;Terciário
Atrition Rate;Comercial;Taxa de desgaste ou perda natural de clientes/vendedores.;Terciário
Auditoria de Dados;Financeiro;Processo de validação da integridade e veracidade dos dados financeiros no BI.;Terciário
Auditoria de Sistemas Criminais;Segurança Pública;Verificação de quem acessou bases de dados criminais sigilosas.;Terciário
Augmented Analytics;Startups;Uso de IA para automatizar a preparação e o insight de dados.;Terciário (Majoritariamente)
AUM (Assets Under Management);Mercado Financeiro;Valor total de mercado dos ativos que uma instituição financeira gerencia para clientes.;Terciário
AUM (Assets Under Management);Bancário/Fintech;Valor total de mercado dos ativos que a instituição gerencia para clientes.;Terciário
Aumento de Tabela;Imobiliário;Estratégia de precificação dinâmica baseada na demanda do lançamento.;Terciário
Autonomous Miles Driven;Automobilístico;Dados de quilometragem em modo autônomo para refinamento de algoritmos.;Secundário
Availability (Disponibilidade);Tecnologia;Percentagem de tempo que um sistema ou serviço está funcional (ex: 99.9%).;Terciário
Avaliação 360 Graus;Recursos Humanos;Consolidação de feedbacks de pares, líderes e subordinados.;Terciário
Avaliação de Riscos Geopolíticos;Segurança Pública;Impacto de fronteiras e migrações na segurança local.;Terciário
Avariados (%);Agricultura;"Grãos mofados, ardidos ou quebrados; impacta a classificação comercial.";Primário
Average Cost per Case;Saúde;Custo médio total de um atendimento ou internação por paciente.;Terciário
Average Lead Response Time;Comercial;Tempo médio que a equipe leva para responder um lead.;Terciário
Average Repair Order (ARO);Automobilístico;Valor médio gasto pelo cliente em cada ordem de serviço na oficina.;Secundário
Average Selling Price (ASP);Varejo;Preço médio de venda de um produto específico em diferentes canais.;Terciário
Average Ticket;Bancário/Fintech;Valor médio de cada transação realizada pelos usuários.;Terciário
Average Ticket (Ticket Médio);Comercial;Valor total de vendas dividido pelo número de pedidos.;Terciário
Average Ticket (Ticket Médio);Comercial e Vendas;Valor médio gasto por cliente em cada pedido ou transação.;Terciário
Average Ticket (Ticket Médio);Vendas;Valor médio das vendas por pedido ou por cliente em um período.;Terciário
Aviso de Sinistro via APP;Seguros;Métrica de digitalização do atendimento ao cliente.;Terciário
B2B (Business to Business);Comercial e Vendas;Modelo de negócio onde o cliente final é outra empresa.;Terciário
B2B (Business to Business);Vendas;Modelo de vendas onde o cliente final é outra empresa.;Terciário
B2B Marketing;Marketing;Estratégias focadas em vendas para outras empresas.;Terciário
B2C (Business to Consumer);Comercial e Vendas;Modelo de negócio voltado para o consumidor final (pessoa física).;Terciário
B2C (Business to Consumer);Vendas;Modelo de vendas focado no consumidor final pessoa física.;Terciário
B2C Marketing;Marketing;Estratégias focadas no consumidor final.;Terciário
BaaS (Banking as a Service);Bancário/Fintech;Modelo onde bancos oferecem sua infraestrutura para que outras empresas virem fintechs.;Terciário
Backhaul;Logística;Viagem de retorno de um caminhão com carga, evitando que volte vazio.;Terciário
Backlog de Dados;TI/Engenharia;Lista de demandas de dados e relatórios pendentes de desenvolvimento.;Terciário / Secundário*
Backlog de Desenvolvimento;Tecnologia;Lista de funcionalidades ou correções pendentes de execução pela equipa técnica.;Terciário
Backlog de Pedidos;Indústria de Papel;Volume de pedidos recebidos mas ainda não produzidos ou despachados.;Secundário
Backlog de Pedidos;Logística;Pedidos pendentes que ainda não foram processados ou enviados.;Terciário
Backlog de Pedidos;Supply Chain;Volume de pedidos recebidos que ainda não foram processados ou enviados.;Terciário
Backlog de Pedidos;Vendas;Pedidos de venda carteirados que ainda não foram faturados.;Terciário
Backlog de Pedidos;Automobilístico;Carteira de pedidos de clientes aguardando produção/entrega.;Secundário
Backlog de Receita;Imobiliário;Receita de vendas já realizadas que será reconhecida conforme a obra evolui.;Terciário
Backlog de Vendas;Comercial e Vendas;Pedidos já fechados, mas que ainda não foram faturados ou entregues.;Terciário
Backorder;Varejo;Pedido de um item que está temporariamente fora de estoque, mas que será entregue depois.;Terciário
Backtesting;Mercado Financeiro;Processo de testar uma estratégia de investimento usando dados históricos.;Terciário
Backtesting;Bolsa de Valores;Aplicação de uma estratégia de investimento em dados históricos para validar eficácia.;Terciário
Bad Debt Expense;Financeiro;"Despesa com devedores duvidosos; estimativa de perda por calote.";Terciário
Balança Comercial;Macroeconomia;Diferença entre o valor das exportações e importações de um país.;Terciário (Serviços/Administração)
Balanço de Carbono;Pecuária;Métrica ESG: emissão de metano vs. sequestro de carbono no pasto.;Primário
Balística Forense (IBIS);Segurança Pública;Cruzamento de projéteis para identificar armas em múltiplos crimes.;Terciário
Bandwidth Utilization;Tecnologia;Consumo de largura de banda de rede em relação à capacidade total disponível.;Terciário
BANT;Comercial;Metodologia de qualificação (Budget, Authority, Need, Timeline).;Terciário
Barreiras Não Tarifárias;Macroeconomia;Restrições à importação que não envolvem impostos (ex: cotas, normas técnicas).;Terciário (Serviços/Administração)
Barter;Agricultura;Operação comercial onde o pagamento de insumos é feito com a entrega da produção futura.;Primário
Base de Clientes Ativos;Comercial e Vendas;Quantidade de clientes que realizaram ao menos uma compra em um período pré-determinado (ex: últimos 6 meses).;Terciário
Base Monetária;Macroeconomia;Total de papel-moeda em poder do público e reservas bancárias.;Terciário (Serviços/Administração)
Basel Ratio (Índice de Basileia);Bancário/Fintech;Relação entre o capital próprio da instituição e os ativos ponderados pelo risco.;Terciário
Basis;Agricultura;Diferença entre o preço local e o preço de referência em bolsas (ex: Chicago).;Primário
Battery Cost per kWh;Automobilístico;Métrica chave para viabilidade de veículos elétricos (EV).;Secundário
Bay Productivity;Automobilístico;Produtividade por box de oficina na concessionária.;Secundário
BDI (Benefícios e Despesas Indiretas);Imobiliário;Percentual adicionado ao custo direto para cobrir custos administrativos e lucro.;Terciário
BDP (Barris por Dia);Petróleo;Unidade padrão de medida de fluxo de produção diária.;Primário (Extração) / Secundário (Refino)
BDR (Business Development Representative);Comercial;Focado em prospecção ativa (outbound) e parcerias.;Terciário
Bear Market;Bolsa de Valores;Tendência de queda acentuada e pessimista nos preços das ações.;Terciário
Bear Trap;Bolsa de Valores;Falso sinal de queda que induz investidores a vender antes de uma alta.;Terciário
Bed Turnover (Giro de Leito);Saúde;Número de pacientes que ocuparam o mesmo leito em determinado período.;Terciário
Bem-estar Animal (BEA);Pecuária;Indicadores qualitativos que impactam o GMD e qualidade de carne.;Primário
Benchmark;Mercado Financeiro;Índice de referência (ex: CDI, Ibovespa) usado para comparar a performance.;Terciário
Benchmark;Bolsa de Valores;Índice de referência utilizado para comparar o desempenho de um fundo ou ativo.;Terciário
Benchmarking de GMD;Pecuária;Comparação do ganho de peso da fazenda com a média da região.;Primário
Benchmarking Salarial;Recursos Humanos;Comparação de dados internos com pesquisas de mercado.;Terciário
Benefit Utilization Rate;Recursos Humanos;Taxa de uso de benefícios (saúde, academia, vale-refeição).;Terciário
Beta;Mercado Financeiro;Sensibilidade de um ativo em relação às variações do mercado como um todo.;Terciário
Beta;Bolsa de Valores;Métrica de volatilidade de um ativo em relação ao mercado geral.;Terciário
Big Data;Tecnologia;Conjunto de dados volumosos e complexos que exigem processamento especial.;Terciário
Big Data;Tecnologia;Conjunto de dados volumosos e complexos que exigem processamento distribuído.;Terciário
Big Data Governamental;Governo;Uso de grandes volumes de dados (saúde, trânsito, impostos) para predição.;Terciário
Billing Cycle (Ciclo de Faturamento);Saúde;Tempo decorrido entre a prestação do serviço e o fechamento da conta para envio.;Terciário
Billings;Comercial;Valor efetivamente faturado no período.;Terciário
Biometria Datiloscópica;Segurança Pública;Uso de impressões digitais para identificação civil e criminal.;Terciário
Black Friday;Varejo;Evento sazonal de alto volume que exige análise preditiva de demanda específica.;Terciário
Blockchain Criminal;Segurança Pública;Uso de registros imutáveis para garantir a cadeia de custódia da prova.;Terciário
Blockchain na Logística;Supply Chain;Uso de registros imutáveis para garantir transparência em contratos e origens.;Terciário
Blue Chips;Bolsa de Valores;Ações de empresas grandes, consolidadas e com alta liquidez.;Terciário
Bodycam Analytics;Segurança Pública;Análise de metadados e logs de câmeras corporais dos agentes.;Terciário
BOE (Barrel of Oil Equivalent);Petróleo;Unidade de medida que converte gás natural para o equivalente em energia do óleo.;Primário (Extração) / Secundário (Refino)
Boi Comum vs. Boi China;Pecuária;Segmentação de preço baseada no padrão de exportação (idade/dentição).;Primário
BOM (Bill of Materials) Accuracy;Automobilístico;Acuracidade da lista de materiais necessários para montar um modelo específico.;Secundário
Bônus (Classe de Bônus);Seguros;Desconto progressivo concedido ao segurado que não registra sinistros.;Terciário
Bônus de Qualidade;Pecuária;Receita adicional por animal que atende protocolos (ex: Angus, Europa).;Primário
Book de Ofertas;Bolsa de Valores;Registro de todas as ordens de compra e venda abertas para um ativo.;Terciário
Booking;Comercial;Valor total de contratos assinados (compromisso financeiro).;Terciário
Bootstrapping;Startups;Crescer usando apenas recursos próprios, sem investimento externo.;Terciário (Majoritariamente)
Bottom of Funnel (BoFu);Marketing;Etapa de decisão de compra (Venda).;Terciário
Bottom of the Funnel (BoFu);Comercial;Fundo do funil (fase de decisão de compra).;Terciário
Bounce Rate (Produto);Startups;Percentual de usuários que saem do app/site logo após entrar.;Terciário (Majoritariamente)
Bounce Rate (Taxa de Rejeição);Varejo;No e-commerce, percentual de visitantes que saem do site após ver apenas uma página.;Terciário
Bounce Rate (Taxa de Rejeição);Marketing Digital;Percentual de visitantes que saem de uma página sem interagir.;Terciário
Brand Awareness;Marketing;Nível de reconhecimento da marca pelo público.;Terciário
Brand Awareness;Automobilístico;Nível de reconhecimento da marca pelos consumidores em pesquisas de mercado.;Secundário
Brand Equity;Marketing;Valor agregado que o nome da marca traz para o produto.;Terciário
Branded Content;Marketing;Conteúdo produzido ou financiado por uma marca para gerar conexão.;Terciário
Break-bulk;Logística;Carga fracionada ou transporte de mercadorias que não cabem em contêineres padrão.;Terciário
Breakdown Time;Indústria de Papel;Tempo total de parada não planejada por falhas técnicas nas máquinas de papel.;Secundário
Breakeven de Produtividade;Agricultura;Mínimo de produção necessária para cobrir todos os custos fixos e variáveis.;Primário
Break-even do Empreendimento;Imobiliário;Ponto em que o volume de vendas cobre todos os custos de construção e terreno.;Terciário
Break-even Point;Financeiro;Ponto de equilíbrio onde as receitas igualam as despesas totais.;Terciário
Break-even Point;Vendas;Ponto de equilíbrio onde a receita de vendas iguala os custos totais.;Terciário
Break-even Point;Mercado Financeiro;Ponto de equilíbrio onde as receitas se igualam às despesas totais.;Terciário
Break-even Point;Comercial;Ponto de equilíbrio onde receitas e despesas se igualam.;Terciário
Break-even Point (Ponto de Equilíbrio);Comercial e Vendas;Volume de vendas necessário para que as receitas se igualem aos custos e despesas.;Terciário
Breakeven Point (Volume);Automobilístico;Volume mínimo de vendas necessário para cobrir os custos operacionais.;Secundário
Bretton Woods;Macroeconomia;Sistema de gestão econômica global que criou o FMI e o Banco Mundial.;Terciário (Serviços/Administração)
Budget Variance;Financeiro;Diferença entre o orçamento aprovado e o gasto real.;Terciário
Bug Tracking Rate;Tecnologia;Taxa de deteção de falhas no software em relação ao tempo de teste.;Terciário
Built to Suit (BTS);Imobiliário;Contrato de locação onde o imóvel é construído sob medida para o locatário.;Terciário
Bull Market;Bolsa de Valores;Tendência de alta sustentada nos preços das ações.;Terciário
Bull Trap;Bolsa de Valores;Falso sinal de alta que induz investidores a comprar antes de uma queda.;Terciário
Bullwhip Effect (Efeito Chicote);Supply Chain;Fenômeno de distorção da demanda que aumenta à medida que sobe na cadeia de suprimentos.;Terciário
Bundling;Varejo;Prática de vender vários produtos juntos por um preço combinado menor.;Terciário
Burn Down Chart;Tecnologia;Gráfico que mostra o trabalho restante versus o tempo disponível num sprint.;Terciário
Burn Multiple;Startups;Quanto a startup queima de caixa para cada R$ 1,00 de receita nova gerada.;Terciário (Majoritariamente)
Burn Rate;Financeiro/Startups;Velocidade com que uma empresa consome seu capital antes de gerar lucro.;Terciário
Burn Rate;Startups;Velocidade com que a startup consome seu caixa para manter a operação.;Terciário (Majoritariamente)
Burn Rate;Bancário/Fintech;Velocidade com que uma fintech consome seu capital de investidores antes de lucrar.;Terciário
Burn rate de Insumos;Saúde;Velocidade de consumo de materiais e medicamentos críticos.;Terciário
Burn Rate Per Head;Startups;"Eficiência de contratação; gasto total dividido pelo número de colaboradores.";Terciário (Majoritariamente)
Burn Up Chart;Tecnologia;Gráfico que acompanha o trabalho total concluído e o progresso do escopo.;Terciário
Burning Cost;Seguros;Custo histórico de sinistros por unidade de exposição, usado para precificação.;Terciário
Burnout Risk Index;Recursos Humanos;Análise cruzada de horas extras, férias vencidas e clima.;Terciário
Business Glossary;Governança;Documento que define os termos de negócio para evitar ambiguidades.;Terciário
CAC (Custo de Aquisição de Cliente);Indústria de Papel;Investimento em marketing e vendas para conquistar uma nova conta de embalagens.;Secundário
CAC (Custo de Aquisição de Cliente);Varejo;Investimento total em marketing e vendas dividido pelo número de novos clientes.;Terciário
CAC (Custo de Aquisição de Cliente);Comercial e Vendas;Soma dos investimentos em marketing e vendas dividida pelo número de novos clientes.;Terciário
CAC (Custo de Aquisição de Cliente);Marketing;Soma dos investimentos dividida pelo número de novos clientes.;Terciário
CAC (Custo de Aquisição de Cliente);Vendas;Soma dos investimentos em marketing e vendas dividida pelo número de novos clientes.;Terciário
CAC (Custo de Aquisição de Cliente);Mercado Financeiro;Investimento médio direto para conquistar um novo correntista ou investidor.;Terciário
CAC (Custo de Aquisição de Cliente);Comercial;Investimento total para converter um lead em cliente.;Terciário
CAC (Custo de Aquisição de Cliente);Imobiliário;Investimento em marketing e corretagem para converter uma venda.;Terciário
CAC (Custo de Aquisição do Cliente);Seguros;Investimento total em marketing e comissões para atrair um novo segurado.;Terciário
CAC (Custo de Aquisição);Marketing/Vendas;Soma dos investimentos para adquirir um cliente.;Terciário
CAC (Custo de Aquisição);Bancário/Fintech;Investimento total para converter um lead em um correntista ativo.;Terciário
CAC (Customer Acquisition Cost);Financeiro;Custo total para converter um lead em cliente pagante.;Terciário
CAC (Customer Acquisition Cost);Startups;Soma de marketing e vendas dividida pelo número de novos clientes.;Terciário (Majoritariamente)
CAD (Capacidade de Água Disponível);Agricultura;"Reserva hídrica do solo; variável crítica para modelos preditivos de safra.";Primário
Cadeia de Custódia;Segurança Pública;Rastreabilidade total da evidência, do local do crime ao tribunal.;Terciário
Câmbio Nominal;Macroeconomia;Preço de uma moeda estrangeira em termos da moeda nacional.;Terciário (Serviços/Administração)
Canal de Vendas;Comercial e Vendas;O meio pelo qual o produto chega ao cliente (e-commerce, varejo físico, atacado, etc).;Terciário
Canal de Vendas;Vendas;Meio pelo qual o produto chega ao cliente (E-commerce, PDV, Representantes).;Terciário
Cancelamento (Chargeback);Comercial e Vendas;Pedidos estornados por contestação da administradora de cartão ou fraude.;Terciário
Cancelamento (Churn Rate);Vendas;Taxa de perda de clientes ou contratos em um determinado período.;Terciário
Candidate Experience Score;Recursos Humanos;Nível de satisfação dos candidatos com o processo seletivo.;Terciário
Candlestick;Bolsa de Valores;Representação gráfica dos preços (abertura, fechamento, máximo, mínimo).;Terciário
Cannibalization (Canibalização);Varejo;Quando um novo produto ou promoção rouba as vendas de um produto já existente na loja.;Terciário
